Journal,Abbreviation,Index Type,Subject,Impact Factor,JCR-zone,ISSN,Rank
Indian Historical Review,INDIAN HIST REV,AHCI,Multiple,0.1,Q3,0376-9836,20884
LILI-ZEITSCHRIFT FUR LITERATURWISSENSCHAFT UND LINGUISTIK,LILI,AHCI,Multiple,0.1,N/A,0049-8653,20884
LOGOS-A JOURNAL OF CATHOLIC THOUGHT AND CULTURE,LOGOS-ST PAUL,AHCI,RELIGION,0.1,N/A,1091-6687,20884
Plato Journal,PLATO J,ESCI,PHILOSOPHY,0.1,N/A,2079-7567,20884
Religioni e Societa-Rivista di Scienze Sociali della Religione,RELIG SOC-ITALY,ESCI,RELIGION,0.1,N/A,0394-9397,20884
Revista de Humanidades de Valparaiso-RHV,REV HUMANID VALPSO,ESCI,Multiple,0.1,Q4,0719-4234,20884
Revista Kanina,REV KANINA,ESCI,LITERATURE,0.1,N/A,0378-0473,20884
REVUE DE L HISTOIRE DES RELIGIONS,REV HIST RELIG,AHCI,Multiple,0.1,Q3,0035-1423,20884
Sociedades Precapitalistas,SOC PRECAPITALISTAS,ESCI,HISTORY,0.1,Q3,2250-5121,20884
STUDIA ROSENTHALIANA,STUD ROSENTHALIANA,AHCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,1781-7838,20884
Studia Universitatis Babes-Bolyai Musica,STUD U BABES-BOL MUS,ESCI,MUSIC,0.1,N/A,1844-4369,20884
SVMMA-Revista de Cultures Medievals,SVMMA-REV CULT MEDIE,ESCI,MEDIEVAL & RENAISSANCE STUDIES,0.1,N/A,N/A,20884
Vestnik Permskogo Universiteta-Juridicheskie Nauki,VESTN PERMSK U-JURID,ESCI,LAW,0.1,Q4,1995-4190,20884
WESTERN FOLKLORE,WESTERN FOLKLORE,AHCI,FOLKLORE,0.1,N/A,0043-373X,20884
BULGARIAN HISTORICAL REVIEW-REVUE BULGARE D HISTOIRE,BULG HIST REV-REV B,AHCI,HISTORY,0.1,Q3,0204-8906,20884
Bulletin of the Institute of Mathematics Academia Sinica New Series,BULL INST MATH ACAD,ESCI,MATHEMATICS,0.1,Q4,2304-7909,20884
CANADIAN REVIEW OF AMERICAN STUDIES,CAN REV AM STUD,AHCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,0007-7720,20884
Elos-Revista de Literatura Infantil e Xuvenil,ELOS,ESCI,LITERATURE,0.1,N/A,N/A,20884
Estudos Historicos,ESTUD HIST-BRAZIL,ESCI,HISTORY,0.1,Q3,0103-2186,20884
Filosofiya-Philosophy,FILOSOFIYA,ESCI,PHILOSOPHY,0.1,N/A,0861-6302,20884
Historia Unisinos,HIST UNISINOS,AHCI,HISTORY,0.1,Q3,1519-3861,20884
JOURNAL OF AMERICAN CULTURE,J AM CULTURE,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,1542-7331,20884
Mathematical Reports,MATH REP,SCIE,MATHEMATICS,0.1,Q4,1582-3067,20884
Palimpsest-A Journal on Women Gender and the Black International,PALIMPSEST,ESCI,WOMENS STUDIES,0.1,Q4,2165-1604,20884
Preternature-Critical and Historical Studies on the Preternatural,PRETERNATURE,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,2161-2196,20884
Religion and the Arts,RELIG ARTS,AHCI,RELIGION,0.1,N/A,1079-9265,20884
Res Publica-Revista de Filosofia Politica,RES PUBLICA-REV FILO,ESCI,PHILOSOPHY,0.1,N/A,1576-4184,20884
Ricerche di Storia Politica,RIC STOR POLTICA,ESCI,HISTORY,0.1,Q3,1120-9526,20884
Sirnak University Journal of Divinity Faculty,SIRNAK U J DIVIN FAC,ESCI,RELIGION,0.1,N/A,2146-4901,20884
Symposium-Canadian Journal of Continental Philosophy,SYMP-CAN J CONT PHIL,ESCI,PHILOSOPHY,0.1,N/A,1917-9685,20884
THEATER,THEATER,AHCI,THEATER,0.1,N/A,0161-0775,20884
Trans-Revue de Litterature Generale et Comparee,TRANS-REV LITT GEN C,ESCI,LITERATURE,0.1,N/A,1778-3887,20884
Vestnik Sankt-Peterburgskogo Universiteta-Yazyk i Literatura,VESTN ST PETER U-YAZ,ESCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,2541-9358,20884
Contemporary Europe-Sovremennaya Evropa,CONTEMP EUR,ESCI,AREA STUDIES,0.1,Q4,0201-7083,20884
Early Modern Women-An Interdisciplinary Journal,EARLY MOD WOMEN,AHCI,"HUMANITIES, MULTIDISCIPLINARY",0.1,N/A,1933-0065,20884
HISTORIOGRAPHIA LINGUISTICA,HIST LINGUIST,AHCI,Multiple,0.1,Q4,0302-5160,20884
Journal for the History of Modern Theology-Zeitschrift fur Neuere Theologiegeschichte,J HIST MOD THEOL,ESCI,RELIGION,0.1,N/A,0943-7592,20884
Journal of Epigraphic Studies,J EPIGR STUD,ESCI,Multiple,0.1,Q3,2611-979X,20884
Journal of French and Francophone Philosophy,J FR FRANCOPH PHILOS,ESCI,PHILOSOPHY,0.1,N/A,1936-6280,20884
